Perm Number,Email,Class of
"8693632",msamet@ucsb.edu,2019
"6650801",bo@ucsb.edu,2020
"7882991",parker@ucsb.edu,2019
"0447719",casey@ucsb.edu,2021
"5400912",vincent@ucsb.edu,2022
"0047351",yang@ucsb.edu,2019
"9888012",daniel@ucsb.edu,2021
"3328615",cole@ucsb.edu,2022
"8776540",songlin@ucsb.edu,2020
"8560091",jared@ucsb.edu,2021
"8022874",yuxin@ucsb.edu,2019
"5978341",kevin@ucsb.edu,2019
"3985679",rebecca@ucsb.edu,2020
"3434349",sharmi@ucsb.edu,2021
"2390044",erik@ucsb.edu,2022
"9913445",jiayi@ucsb.edu,2022
"1197539",noah@ucsb.edu,2020
"2839456",yingwen@ucsb.edu,2022
